"COLLEGE
CODE","COLLEGE
TYPE",NAME AND ADDRESS OF THE COLLEGE,"TELEPHONE
NUMBERS","GOVT.
SEATS","COURSE WISE
BREAK-UP",,,,,,,,
,,University Visveswariah College of Engineering,,,,,,,,,,,
,,,STD-080 -,,"AR-38,CE-126,CS-74,EC-",,,,,,,,
,,"K.R.CIRCLE, BANGALORE - 560001",,553,,,,,,,,,
E001,GOVT.,"Email:principal@uvce.in,","22961803,",,"63,EE-84,IE-63,ME-105",,,,,,,,
,,Website:www.uvce.ac.in,22210694(F),,,,,,,,,,
E002,,"S K S J T Institute of Engineering.
K.R.CIRCLE, BANGALORE - 560001
Email:kgchandrashekar@yahoo.com,
Website:www.gsksjti.org","STD-080 -
22260125(F)",241,"CE-63,CS-63,EC-63,ST-
21,TX 31",,,,,,,,
,,B M S College of Engineering,,,,,,,,,,,
,,"P.B No 1908, Bull Temple Road, ,",STD-080 -,,"CE-60,EC-60,EE-60,IM-",,,,,,,,
E003,PA,"BASAVANAGUDI, BANGALORE - 560019","26622135,",300,"60,ME-60",,,,,,,,
,,"Email:principal@bmsce.ac.in,",26614357(F),,,,,,,,,,
,,Website:www.bmsce.ac.in,,,,,,,,,,,
,,B M S College of Engineering,,,,,,,,,,,
,,"P.B No 1908, Bull Temple Road, ,",STD-080 -,,"AR-48,BT-20,CE-30,CH-",,,,,,,,
E048,PUA,"BASAVANAGUDI, BANGALORE - 560019","26622135,",383,"30,CS-60,EC-30,IE-45,IT-",,,,,,,,
,,"Email:principal@bmsce.ac.in,",26614357(F),,"14,MD-16,ME-60,TC-30",,,,,,,,
,,Website:www.bmsce.ac.in,,,,,,,,,,,
,,Dr. Ambedkar Institute Of Tec hnology,,,,,,,,,,,
,,"Outer Ring Road, Mallathahally, Jnanabharathi",,,"CE-89,CS-60,EC-120,EE-",,,,,,,,
,,,STD-080 -,629,"60,IM-60,IT-60,ME-",,,,,,,,
